date,norad,alt
2026-07-03,53006,508.7
2026-07-02,53007,509.0
2026-07-03,53007,508.6
2026-07-02,53008,502.3
2026-07-03,53008,501.5
2026-07-02,53010,496.9
2026-07-03,53010,496.0
2026-07-02,53016,528.4
2026-07-03,53016,526.1
2026-07-02,53017,374.0
2026-07-03,53017,373.7
2026-07-02,53018,386.9
2026-07-03,53018,385.6
2026-07-03,53027,498.1
2026-07-02,53030,485.4
2026-07-03,53030,483.5
2026-07-02,53032,490.1
2026-07-03,53032,488.9
2026-07-02,53074,430.7
2026-07-03,53074,429.1
2026-07-03,53134,534.7
2026-07-02,53135,486.3
2026-07-03,53135,485.4
2026-07-02,53136,535.3
2026-07-03,53136,532.4
2026-07-02,53140,544.8
2026-07-03,53140,540.4
2026-07-02,53144,489.8
2026-07-03,53144,487.7
2026-07-02,53147,490.0
2026-07-03,53147,488.1
2026-07-02,53152,405.0
2026-07-03,53152,404.0
2026-07-02,53166,389.4
2026-07-03,53166,390.4
2026-07-03,53169,544.9
2026-07-02,53182,503.0
2026-07-03,53182,501.9
2026-07-02,53191,453.3
2026-07-03,53191,452.3
2026-07-02,53201,433.1
2026-07-03,53201,431.2
2026-07-02,53204,457.2
2026-07-03,53204,456.2
2026-07-02,53234,421.7
2026-07-03,53234,418.1
2026-07-02,53251,494.2
2026-07-03,53251,491.9
2026-07-02,53252,487.6
2026-07-03,53252,485.0
2026-07-03,53264,544.8
2026-07-03,53267,527.5
2026-07-02,53272,487.0
2026-07-03,53272,485.2
2026-07-02,53274,489.6
2026-07-03,53274,487.5
2026-07-02,53278,507.2
2026-07-03,53278,504.8
2026-07-02,53282,483.5
2026-07-03,53282,481.5
2026-07-02,53283,494.5
2026-07-03,53283,492.5
2026-07-02,53286,514.9
2026-07-03,53286,512.7
2026-07-02,53287,489.8
2026-07-03,53287,487.2
2026-07-02,53289,504.2
2026-07-03,53289,501.9
2026-07-02,53394,536.2
2026-07-03,53394,535.3
2026-07-02,53404,534.1
2026-07-03,53404,531.7
2026-07-02,53406,525.0
2026-07-03,53406,523.6
2026-07-02,53409,501.1
2026-07-03,53409,499.9
2026-07-02,53415,530.9
2026-07-03,53415,528.5
2026-07-02,53418,502.5
2026-07-03,53418,500.8
2026-07-02,53420,525.3
2026-07-03,53420,523.8
2026-07-02,53421,527.1
2026-07-03,53421,525.3
2026-07-02,53424,528.6
2026-07-03,53424,526.2
2026-07-02,53426,496.5
2026-07-03,53426,495.1
2026-07-02,53429,504.5
2026-07-03,53429,503.7
2026-07-02,53430,500.2
2026-07-03,53430,499.4
2026-07-02,53431,504.1
2026-07-03,53431,503.3
2026-07-02,53432,499.1
2026-07-03,53432,498.3
2026-07-02,53434,163.7
2026-07-02,53435,493.1
2026-07-03,53435,491.8
2026-07-02,53436,504.1
